HomeTeam,AwayTeam,ScoreHome,ScoreAway,TotalScore
Portland Trail Blazers,New Orleans Pelicans,101,93,194
Atlanta Hawks,Oklahoma City Thunder,116,93,209
New York Knicks,Orlando Magic,94,93,187
Washington Wizards,Utah Jazz,131,122,253
Dallas Mavericks,Los Angeles Clippers,105,89,194
Denver Nuggets,Charlotte Hornets,129,104,233
Memphis Grizzlies,Miami Heat,89,85,174
Chicago Bulls,San Antonio Spurs,99,106,205
Cleveland Cavaliers,Boston Celtics,117,110,227
Houston Rockets,Golden State Warriors,94,108,202
Detroit Pistons,Toronto Raptors,116,112,228
Indiana Pacers,Brooklyn Nets,115,124,239
Philadelphia 76ers,Milwaukee Bucks,105,109,214
Washington Wizards,Sacramento Kings,119,121,240
Los Angeles Lakers,Minnesota Timberwolves,137,121,258
Portland Trail Blazers,New Orleans Pelicans,125,124,249
Chicago Bulls,Oklahoma City Thunder,123,102,225
Houston Rockets,Atlanta Hawks,107,119,226
Miami Heat,Cleveland Cavaliers,113,98,211
Philadelphia 76ers,New York Knicks,99,96,195
Boston Celtics,Utah Jazz,109,117,226
Golden State Warriors,Los Angeles Lakers,97,128,225
Denver Nuggets,Indiana Pacers,121,106,227
Phoenix Suns,Memphis Grizzlies,122,99,221
Dallas Mavericks,Los Angeles Clippers,99,109,208
Brooklyn Nets,New York Knicks,117,112,229
Detroit Pistons,San Antonio Spurs,99,109,208
Charlotte Hornets,Sacramento Kings,122,116,238
Washington Wizards,Milwaukee Bucks,122,133,255
Chicago Bulls,Toronto Raptors,118,95,213
New Orleans Pelicans,Los Angeles Clippers,135,115,250
Houston Rockets,Boston Celtics,107,134,241
Minnesota Timberwolves,Portland Trail Blazers,114,112,226
Atlanta Hawks,Cleveland Cavaliers,100,82,182
Orlando Magic,Miami Heat,97,102,199
Philadelphia 76ers,San Antonio Spurs,134,99,233
Golden State Warriors,Utah Jazz,131,119,250
Oklahoma City Thunder,Memphis Grizzlies,128,122,250
Denver Nuggets,Dallas Mavericks,103,116,219
Phoenix Suns,Indiana Pacers,111,122,233
Minnesota Timberwolves,Portland Trail Blazers,121,125,246
Atlanta Hawks,Sacramento Kings,121,106,227
Brooklyn Nets,Detroit Pistons,100,95,195
Charlotte Hornets,Toronto Raptors,114,104,218
Washington Wizards,Milwaukee Bucks,119,125,244
Oklahoma City Thunder,New York Knicks,97,119,216
Los Angeles Lakers,Indiana Pacers,105,100,205
Utah Jazz,Houston Rockets,114,99,213
Chicago Bulls,Miami Heat,90,101,191
San Antonio Spurs,Orlando Magic,104,77,181
Memphis Grizzlies,Denver Nuggets,102,103,205
New Orleans Pelicans,Cleveland Cavaliers,116,82,198
Washington Wizards,Philadelphia 76ers,101,127,228
Los Angeles Clippers,Golden State Warriors,130,104,234
Portland Trail Blazers,Phoenix Suns,121,127,248
Sacramento Kings,Houston Rockets,125,105,230
Oklahoma City Thunder,Dallas Mavericks,116,108,224
Chicago Bulls,Philadelphia 76ers,105,127,232
